Item Name,Description,Mfg Part #,Category,Rate,Item Type
3 Ton IN 16 SGA,INSTALL 3 TON INFINITY 16 SEER  CARRIER A/C GAS FURNACE\CRSYSTEM COMPLETE INCLUDING\CRFeatures & Benefits\CR*Variable Speed Compressor\CR*Increased Humidity R,,Sales:Carrier - Turn to the experts:Carrier Split Gas A/C,0.00000,Inventory
Heating / Cooling Tune-Up,PERFORM CLEAN & CHECK COOLING TUNE-UP FOR 1) A/C SYSTEM INCLUDING -1) MONITOR REFRIGERANT LEVELS -2) PERFORM INSPECTION OF COILS AND CLEANING TO OUTDO,,Maintenance,199.00000,Non Inventory
#6-2 Romex Wire 10',INSTALL #6-2 ROMEX COMPLETE INCLUDING  -1) CONNECTION TO APPLIANCE FROM SERVICE DISCONNECT -2) 1 YR. GIESBRECHT REPLACEMENT COVERAGE ON ALL WORKMANSHI,,Service:Service Repairs:Electrical Repairs,218.11000,Non Inventory
#6-2 Romex Wire 20',INSTALL #6-2 ROMEX COMPLETE INCLUDING  -1) CONNECTION TO APPLIANCE FROM SERVICE DISCONNECT -2) 1 YR. GIESBRECHT REPLACEMENT COVERAGE ON ALL WORKMANSHI,,Service:Service Repairs:Electrical Repairs,446.02000,Non Inventory
#6-2 Romex Wire 30',INSTALL #6-2 ROMEX COMPLETE INCLUDING  -1) CONNECTION TO APPLIANCE FROM SERVICE DISCONNECT -2) 1 YR. GIESBRECHT REPLACEMENT COVERAGE ON ALL WORKMANSHI,,Service:Service Repairs:Electrical Repairs,654.73000,Non Inventory
#6-2 Romex Wire 40',INSTALL #6-2 ROMEX COMPLETE INCLUDING  -1) CONNECTION TO APPLIANCE FROM SERVICE DISCONNECT -2) 1 YR. GIESBRECHT REPLACEMENT COVERAGE ON ALL WORKMANSHI,,Service:Service Repairs:Electrical Repairs,873.05000,Non Inventory
#6-2 Romex Wire 50',INSTALL #6-2 ROMEX COMPLETE INCLUDING  -1) CONNECTION TO APPLIANCE FROM SERVICE DISCONNECT -2) 1 YR. GIESBRECHT REPLACEMENT COVERAGE ON ALL WORKMANSHI,,Service:Service Repairs:Electrical Repairs,1091.36000,Non Inventory
#6-2 Romex Wire 60',INSTALL #6-2 ROMEX COMPLETE INCLUDING  -1) CONNECTION TO APPLIANCE FROM SERVICE DISCONNECT -2) 1 YR. GIESBRECHT REPLACEMENT COVERAGE ON ALL WORKMANSHI,,Service:Service Repairs:Electrical Repairs,1309.67000,Non Inventory
$87 Tune-Up,$87 TUNEUP & DIAGNOSE SYSTEM,,Service:Service Repairs:Service Call & Diagnosis,0.00000,Non Inventory
1 & 2 Pole Contactors,REPLACE MAIN OUTDOOR RELAY COMPLETE INCLUDING -1) REMOVAL & DISPOSAL OF DEFECTIVE RELAY -2) RUN TEST SYSTEM UPON COMPLETION TO ENSURE PROPER OPERATION,,Service:Service Repairs:Relays,469.96000,Non Inventory
1 Case Dynamic Media Filters,,,,132.00000,Inventory
1 Ton IN 18 SHP,INSTALL 1 TON INFINITY 18 SEER 5\CRSTAGE CARRIER HEAT PUMP\CRSYSTEM COMPLETE INCLUDING\CRFeatures & Benefits\CR*5 Stage Compressor Variable Speed\CRIndoor Fan\CR*,,Sales:Carrier - Turn to the experts:Carrier Split Heat Pump,15060.00000,Inventory
1.5 Ton Carrier SHP, - High-efficiency 1.5 Ton Carrier Small Heat Pump (SHP) unit\CR- Environmentally friendly R-410A refrigerant\CR- Quiet operation with variable-speed fan m,,Sales:Carrier - Turn to the experts:Carrier Split Heat Pump,0.00000,Inventory
1.5 Ton CO 15 SGA,,,Sales:Carrier - Turn to the experts:Carrier Split Gas A/C,0.00000,Non Inventory
1.5 Ton IN 18 SGA,,,Sales:Carrier - Turn to the experts:Carrier Split Gas A/C,0.00000,Non Inventory
1.5 Ton IN 24 SGA,,,Sales:Carrier - Turn to the experts:Carrier Split Gas A/C,0.00000,Non Inventory
1.5 Ton PDS,1.5 Ton PREMIUM SUPPLY & RETURN DUCTING SYSTEM\CRThis Installation Includes \CR-REMOVAL & DISPOSAL OF EXISTING SUPPLY & RETURN SYSTEM \CR-DAILY JOB-SITE,,Sales:New Ductwork,0.00000,Non Inventory
1.5 Ton PE 16 SHP,INSTALL 1.5 TON PERFORMANCE 16 SEER  CARRIER HEAT PUMP\CRSYSTEM COMPLETE INCLUDING\CRFeatures & Benefits\CR*Single Speed Compressor\CR*Increased Humidity Remo,,Sales:Carrier - Turn to the experts:Carrier Split Heat Pump,8556.00000,Inventory
1.5 Ton PE 17 SGA,,,Sales:Carrier - Turn to the experts:Carrier Split Gas A/C,0.00000,Non Inventory
1.5 Ton XL15 SGA,,,Sales:Carrier - Turn to the experts:Carrier Split Gas A/C,14996.00000,Non Inventory
1.5 Ton XL15 SHP,,,Sales:Carrier - Turn to the experts:Carrier Split Heat Pump,16071.00000,Non Inventory
1.5 Ton XR14 RunTru SHP,INSTALL 1.5 TON XR14 SEER SINGLE SPEED RUNTRU HEAT PUMP SYSTEM INCLUDING\CR\CRFeatures & Benefits\CR*Single Speed Compressor \CR*2 Speed Indoor Fan \CR*Reliable,,Sales:Run Tru:RunTru Split Heat Pump,11236.41000,Non Inventory
1.5 Ton XR14 SGA,INSTALL 1.5 TON XR14 A/C WITH GAS FURNACE COMPLETE \CR\CRFeatures & Benefits\CR*Single Speed Compressor \CR*2 Speed Indoor Fan \CR*Reliable Comfort,,Sales:Trane:Split Gas A/C,13425.00000,Non Inventory
1.5 Ton XR14 SHP,INSTALL 1.5 TON XR14 SEER SINGLE SPEED TRANE HEAT PUMP SYSTEM INCLUDING\CR\CRFeatures & Benefits\CR*Single Speed Compressor \CR*2 Speed Indoor Fan \CR*Reliable,,Sales:Trane:Split Heat Pump,13101.00000,Non Inventory
1.5 Ton XR15 RunTru SHP,INSTALL 1.5 TON XR15 SEER SINGLE SPEED RUNTRU HEAT PUMP SYSTEM INCLUDING\CR\CRFeatures & Benefits\CR*Variable Speed Compressor \CR*Variable Speed Indoor Fan \CR,,Sales:Run Tru:RunTru Split Heat Pump,12480.76000,Non Inventory
1.5 Ton XR15 SGA,INSTALL 1.5 TON XR15 A/C WITH GAS FURNACE COMPLETE \CR\CRFeatures & Benefits\CR*Variable Speed Compressor \CR*Variable Speed Indoor Fan \CR*Increased De-humidif,,Sales:Trane:Split Gas A/C,14165.00000,Non Inventory
