new_file,xref,orig_w,orig_h,aspect,page_used_for_naming,pkg_inferred,tonnage_inferred,tier_inferred,component_inferred,model_inferred,other_models_nearby,context_sample
sga_square_essential_3t_outdoor_5ttr5036a1000.png,485,844,872,square,29,Essential,3,,outdoor,5TTR5036A1000,"26SCA536W003, CVAVA3617XMA, 58SB0B070M17--16, EB-STATE3LTICR-01, 5TTR5036A1000, 5TXCB004AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Essential | 3 Ton SGA >> BEST Total Investment $178/MO* $11,867 *with approved cre"
sga_square_essential_5t_outdoor_5ttr5060a1000.png,487,1080,1080,square,23,Essential,5,,outdoor,5TTR5060A1000,"26SCA560W003, CVAVA6021XMA, 58SB0B110M21--20, EB-STATE3LTICR-01, 5TTR5060A1000, 5TXCC009AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ BEST Total Investment $223/MO* $14,908 *with approved credit Carrier   26SCA560W00"
sga_square_essential_5t_outdoor_5ttr5060a1000_2.png,197,968,1056,square,23,Essential,5,,outdoor,5TTR5060A1000,"5TTR5060A1000, 5TXCC009AS3HC, S8X1C100M5PSC, TCONT724AS42DA, 26SCA560W003, CVAVA6021XMA","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Essential | 5 Ton SGA >> BEST Total Investment $223/MO* $14,908 *with approved cre"
sga_square_essential_5t_outdoor_5ttr5060a1000_3.png,248,968,1056,square,23,Essential,5,,outdoor,5TTR5060A1000,"5TTR5060A1000, 5TXCC009AS3HC, S8X1C100M5PSC, TCONT724AS42DA, 26SCA560W003, CVAVA6021XMA","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Essential | 5 Ton SGA >> BEST Total Investment $223/MO* $14,908 *with approved cre"
sga_square_essential_5t_outdoor_5ttr5060a1000_4.png,489,720,720,square,23,Essential,5,,outdoor,5TTR5060A1000,"26SCA560W003, CVAVA6021XMA, 58SB0B110M21--20, EB-STATE3LTICR-01, 5TTR5060A1000, 5TXCC009AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ BEST Total Investment $223/MO* $14,908 *with approved credit Carrier   26SCA560W00"
sga_square_essential_5t_outdoor_5ttr5060a1000_5.png,491,720,720,square,23,Essential,5,,outdoor,5TTR5060A1000,"26SCA560W003, CVAVA6021XMA, 58SB0B110M21--20, EB-STATE3LTICR-01, 5TTR5060A1000, 5TXCC009AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ BEST Total Investment $223/MO* $14,908 *with approved credit Carrier   26SCA560W00"
sga_square_essential_5t_outdoor_5ttr5060a1000_6.png,325,704,704,square,23,Essential,5,,outdoor,5TTR5060A1000,"5TTR5060A1000, 5TXCC009AS3HC, S8X1C100M5PSC, TCONT724AS42DA, 26SCA560W003, CVAVA6021XMA","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Essential | 5 Ton SGA >> BEST Total Investment $223/MO* $14,908 *with approved cre"
sga_landscape_essential_5t_outdoor_5ttr5060a1000.png,104,380,440,landscape,23,Essential,5,,outdoor,5TTR5060A1000,"5TTR5060A1000, 5TXCC009AS3HC, S8X1C100M5PSC, TCONT724AS42DA, 26SCA560W003, CVAVA6021XMA","https://www.ghvacinc.com/ Essential | 5 Ton SGA >> BETTER Total Investment $203/MO* $13,546 *with approved credit Trane   5TTR5060A1000 -15 Series -Single-Stage -Air Conditioner -1"
sga_landscape_essential_5t_outdoor_5ttr5060a1000_2.png,203,380,440,landscape,23,Essential,5,,outdoor,5TTR5060A1000,"5TTR5060A1000, 5TXCC009AS3HC, S8X1C100M5PSC, TCONT724AS42DA, 26SCA560W003, CVAVA6021XMA","https://www.ghvacinc.com/ Essential | 5 Ton SGA >> BETTER Total Investment $203/MO* $13,546 *with approved credit Trane   5TTR5060A1000 -15 Series -Single-Stage -Air Conditioner -1"
sga_square_premium_4t_outdoor_5ttr7048a1000.png,126,409,413,square,14,Premium,4,,outdoor,5TTR7048A1000,"5TTR7048A1000, 5TXCB006AS3HC, S8X1B080M4PSC, TCONT724AS42DA, 5TTV8X48A1000, 5TXCC007AS3HC","Proposed by: 1291 Adams Rd. Stapleton, Georgia 30823 Tel : 706-547-0404 https://www.ghvacinc.com/ Premium | 4 Ton SGA >> BEST Total Investment $258/MO* $17,249 *with approved credi"
