file,package,tonnage,tier,position,brand,model,page,column
sga_premium_5ton_best_1_trane_5ttv8x60a1000.png,Premium,5,Best,1,Trane,5TTV8X60A1000,1,left
sga_premium_5ton_best_2_trane_5txcc009as3hc.png,Premium,5,Best,2,Trane,5TXCC009AS3HC,1,left
sga_premium_5ton_best_3_trane_s8v2c100m5pcb.png,Premium,5,Best,3,Trane,S8V2C100M5PCB,1,left
sga_premium_5ton_best_4_trane_tlink360a2vvua.png,Premium,5,Best,4,Trane,TLINK360A2VVUA,1,left
sga_premium_5ton_better_1_trane_5ttr7060a1000.png,Premium,5,Better,1,Trane,5TTR7060A1000,1,right
sga_premium_5ton_better_2_trane_5txcc009as3hc.png,Premium,5,Better,2,Trane,5TXCC009AS3HC,1,right
sga_premium_5ton_better_3_trane_s8x1c100m5psc.png,Premium,5,Better,3,Trane,S8X1C100M5PSC,1,right
sga_premium_5ton_better_4_trane_tcont724as42da.png,Premium,5,Better,4,Trane,TCONT724AS42DA,1,right
sga_premium_4ton_best_1_trane_5ttv8x48a1000.png,Premium,4,Best,1,Trane,5TTV8X48A1000,3,left
sga_premium_4ton_best_2_trane_5txcc007as3hc.png,Premium,4,Best,2,Trane,5TXCC007AS3HC,3,left
sga_premium_4ton_best_3_trane_s8v2c080m5pcb.png,Premium,4,Best,3,Trane,S8V2C080M5PCB,3,left
sga_premium_4ton_best_4_trane_tlink360a2vvua.png,Premium,4,Best,4,Trane,TLINK360A2VVUA,3,left
sga_premium_4ton_better_1_trane_5ttr7048a1000.png,Premium,4,Better,1,Trane,5TTR7048A1000,3,right
sga_premium_4ton_better_2_trane_5txcb006as3hc.png,Premium,4,Better,2,Trane,5TXCB006AS3HC,3,right
sga_premium_4ton_better_3_trane_s8x1b080m4psc.png,Premium,4,Better,3,Trane,S8X1B080M4PSC,3,right
sga_premium_4ton_better_4_trane_tcont724as42da.png,Premium,4,Better,4,Trane,TCONT724AS42DA,3,right
sga_premium_3_5ton_budget_1_trane_5ttr4042a1000.png,Premium,3.5,Budget,1,Trane,5TTR4042A1000,5,right
sga_premium_3_5ton_budget_2_ameristar_5txcb006as3hc.png,Premium,3.5,Budget,2,Ameristar,5TXCB006AS3HC,5,right
sga_premium_3_5ton_budget_3_trane_s8x1b080m4psc.png,Premium,3.5,Budget,3,Trane,S8X1B080M4PSC,5,right
sga_premium_3_5ton_budget_4_trane_tcont724as42da.png,Premium,3.5,Budget,4,Trane,TCONT724AS42DA,5,right
sga_premium_3_5ton_good_1_trane_5ttr5042a1000.png,Premium,3.5,Good,1,Trane,5TTR5042A1000,5,left
sga_premium_3_5ton_good_2_ameristar_5txcc007as3hc.png,Premium,3.5,Good,2,Ameristar,5TXCC007AS3HC,5,left
sga_premium_3_5ton_good_3_trane_s8x1c080m5psc.png,Premium,3.5,Good,3,Trane,S8X1C080M5PSC,5,left
sga_premium_3_5ton_good_4_trane_tcont724as42da.png,Premium,3.5,Good,4,Trane,TCONT724AS42DA,5,left
sga_premium_3ton_best_1_trane_5ttv8x36a1000.png,Premium,3,Best,1,Trane,5TTV8X36A1000,6,left
sga_premium_3ton_best_2_trane_5txcb006as3hc.png,Premium,3,Best,2,Trane,5TXCB006AS3HC,6,left
sga_premium_3ton_best_3_trane_s8v2b060m4pcb.png,Premium,3,Best,3,Trane,S8V2B060M4PCB,6,left
sga_premium_3ton_best_4_trane_tlink360a2vvua.png,Premium,3,Best,4,Trane,TLINK360A2VVUA,6,left
sga_premium_3ton_better_1_trane_5ttr7036a1000.png,Premium,3,Better,1,Trane,5TTR7036A1000,6,right
sga_premium_3ton_better_2_trane_5txcb003as3hc.png,Premium,3,Better,2,Trane,5TXCB003AS3HC,6,right
sga_premium_3ton_better_3_trane_s8x1c080m5psc.png,Premium,3,Better,3,Trane,S8X1C080M5PSC,6,right
sga_premium_3ton_better_4_trane_tcont724as42da.png,Premium,3,Better,4,Trane,TCONT724AS42DA,6,right
sga_premium_2_5ton_budget_1_trane_5ttr4030a1000.png,Premium,2.5,Budget,1,Trane,5TTR4030A1000,8,right
sga_premium_2_5ton_budget_2_ameristar_5txcb003as3hc.png,Premium,2.5,Budget,2,Ameristar,5TXCB003AS3HC,8,right
sga_premium_2_5ton_budget_3_trane_s8x1b060m4psc.png,Premium,2.5,Budget,3,Trane,S8X1B060M4PSC,8,right
sga_premium_2_5ton_budget_4_trane_tcont724as42da.png,Premium,2.5,Budget,4,Trane,TCONT724AS42DA,8,right
sga_premium_2_5ton_good_1_trane_5ttr5030a1000.png,Premium,2.5,Good,1,Trane,5TTR5030A1000,8,left
sga_premium_2_5ton_good_2_runtru_5txcb006as3hcaa.png,Premium,2.5,Good,2,RunTru,5TXCB006AS3HCAA,8,left
sga_premium_2_5ton_good_3_trane_s8x1b080m4psc.png,Premium,2.5,Good,3,Trane,S8X1B080M4PSC,8,left
sga_premium_2_5ton_good_4_trane_tcont724as42da.png,Premium,2.5,Good,4,Trane,TCONT724AS42DA,8,left
sga_premium_2ton_best_1_trane_5ttv8x24a1000.png,Premium,2,Best,1,Trane,5TTV8X24A1000,9,left
sga_premium_2ton_best_2_trane_5txcb003as3hc.png,Premium,2,Best,2,Trane,5TXCB003AS3HC,9,left
sga_premium_2ton_best_3_trane_s8v2a040m3pcb.png,Premium,2,Best,3,Trane,S8V2A040M3PCB,9,left
sga_premium_2ton_best_4_trane_tlink360a2vvua.png,Premium,2,Best,4,Trane,TLINK360A2VVUA,9,left
