Package,Tonnage,Tier,Position,Brand,Model Number,Image File
Ultimate,5,Best,1,Trane,5TTV0X60A1000,sga_ultimate_5ton_best_1_trane_5ttv0x60a1000.png
Ultimate,5,Best,2,Trane,5TXCC009AS3HC,sga_ultimate_5ton_best_2_trane_5txcc009as3hc.png
Ultimate,5,Best,3,Trane,S8V2C100M5PCB,sga_ultimate_5ton_best_3_trane_s8v2c100m5pcb.png
Ultimate,5,Best,4,Trane,TLINK360A2VVUA,sga_ultimate_5ton_best_4_trane_tlink360a2vvua.png
Ultimate,5,Better,1,Trane,5TTV8X60A1000,sga_ultimate_5ton_better_1_trane_5ttv8x60a1000.png
Ultimate,5,Better,2,Trane,5TXCC009AS3HC,sga_ultimate_5ton_better_2_trane_5txcc009as3hc.png
Ultimate,5,Better,3,Trane,S8V2C100M5PCB,sga_ultimate_5ton_better_3_trane_s8v2c100m5pcb.png
Ultimate,5,Better,4,Trane,TLINK360A2VVUA,sga_ultimate_5ton_better_4_trane_tlink360a2vvua.png
Ultimate,,Good,1,Trane,5TTX7060A1000,sga_ultimate__oneton_good_1_trane_5ttx7060a1000.png
Ultimate,,Good,2,Trane,5TXCC009AS3HC,sga_ultimate__oneton_good_2_trane_5txcc009as3hc.png
Ultimate,,Good,3,Trane,S8V2C100M5PCB,sga_ultimate__oneton_good_3_trane_s8v2c100m5pcb.png
Ultimate,,Good,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_good_4_trane_tcont724as42da.png
Ultimate,,Budget,1,Trane,5TTX5060A1000,sga_ultimate__oneton_budget_1_trane_5ttx5060a1000.png
Ultimate,,Budget,2,Trane,5TXCC009AS3HC,sga_ultimate__oneton_budget_2_trane_5txcc009as3hc.png
Ultimate,,Budget,3,Trane,S8X1C100M5PSC,sga_ultimate__oneton_budget_3_trane_s8x1c100m5psc.png
Ultimate,,Budget,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_budget_4_trane_tcont724as42da.png
Ultimate,4,Best,1,Trane,5TTV0X48A1000,sga_ultimate_4ton_best_1_trane_5ttv0x48a1000.png
Ultimate,4,Best,2,Trane,5TXCB006AS3HCAA,sga_ultimate_4ton_best_2_trane_5txcb006as3hcaa.png
Ultimate,4,Best,3,Trane,S8V2B080M4PCB,sga_ultimate_4ton_best_3_trane_s8v2b080m4pcb.png
Ultimate,4,Best,4,Trane,TLINK360A2VVUA,sga_ultimate_4ton_best_4_trane_tlink360a2vvua.png
Ultimate,4,Better,1,Trane,5TTV8X48A1000,sga_ultimate_4ton_better_1_trane_5ttv8x48a1000.png
Ultimate,4,Better,2,Trane,5TXCC007AS3HCAA,sga_ultimate_4ton_better_2_trane_5txcc007as3hcaa.png
Ultimate,4,Better,3,Trane,S8V2C080M5PCB,sga_ultimate_4ton_better_3_trane_s8v2c080m5pcb.png
Ultimate,4,Better,4,Trane,TLINK360A2VVUA,sga_ultimate_4ton_better_4_trane_tlink360a2vvua.png
Ultimate,,Good,1,Trane,5TTX7048A1000,sga_ultimate__oneton_good_1_trane_5ttx7048a1000.png
Ultimate,,Good,2,Trane,5TXCB006AS3HC,sga_ultimate__oneton_good_2_trane_5txcb006as3hc.png
Ultimate,,Good,3,Trane,S8V2B080M4PCB,sga_ultimate__oneton_good_3_trane_s8v2b080m4pcb.png
Ultimate,,Good,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_good_4_trane_tcont724as42da_2.png
Ultimate,,Budget,1,Trane,5TTX5048A1000,sga_ultimate__oneton_budget_1_trane_5ttx5048a1000.png
Ultimate,,Budget,2,Trane,5TXCC009AS3HC,sga_ultimate__oneton_budget_2_trane_5txcc009as3hc_2.png
Ultimate,,Budget,3,Trane,S8X1C080M5PSC,sga_ultimate__oneton_budget_3_trane_s8x1c080m5psc.png
Ultimate,,Budget,4,Trane,TCONT724AS42DA,sga_ultimate__oneton_budget_4_trane_tcont724as42da_2.png
Ultimate,3.5,Budget,1,Trane,5TTX5042A1000,sga_ultimate_3.5ton_budget_1_trane_5ttx5042a1000.png
