file,package,system,tonnage,tier,position,brand,model,pdf_page,column,placeholder
shp_essential_5ton_best_1_trane_5twr5060a1000.png,Essential,SHP,5,Best,1,Trane,5TWR5060A1000,1,left,0
shp_essential_5ton_best_2_trane_5tem4d07ac51s.png,Essential,SHP,5,Best,2,Trane,5TEM4D07AC51S,1,left,0
shp_essential_5ton_best_3_trane_tcont724as42da.png,Essential,SHP,5,Best,3,Trane,TCONT724AS42DA,1,left,0
shp_essential_5ton_better_1_carrier_fj5anxd60l00.png,Essential,SHP,5,Better,1,Carrier,FJ5ANXD60L00,1,right,0
shp_essential_5ton_better_2_carrier_27sca560a003.png,Essential,SHP,5,Better,2,Carrier,27SCA560A003,1,right,0
shp_essential_5ton_better_3_carrier_eb-state3lticr-01.png,Essential,SHP,5,Better,3,Carrier,EB-STATE3LTICR-01,1,right,0
shp_essential_5ton_budget_1_runtru_a5hp4060a1000.png,Essential,SHP,5,Budget,1,RunTru,A5HP4060A1000,2,right,0
shp_essential_5ton_budget_2_runtru_a5ahc007a1d30a.png,Essential,SHP,5,Budget,2,RunTru,A5AHC007A1D30A,2,right,0
shp_essential_5ton_budget_3_trane_tcont724as42da.png,Essential,SHP,5,Budget,3,Trane,TCONT724AS42DA,2,right,0
shp_essential_5ton_good_1_trane_5twr4060a1000.png,Essential,SHP,5,Good,1,Trane,5TWR4060A1000,2,left,0
shp_essential_5ton_good_2_trane_5tem4d07ac51s.png,Essential,SHP,5,Good,2,Trane,5TEM4D07AC51S,2,left,0
shp_essential_5ton_good_3_trane_tcont724as42da.png,Essential,SHP,5,Good,3,Trane,TCONT724AS42DA,2,left,0
shp_essential_4ton_best_1_trane_5twr5048a1000.png,Essential,SHP,4,Best,1,Trane,5TWR5048A1000,3,left,0
shp_essential_4ton_best_2_trane_5tem4d06ac41s.png,Essential,SHP,4,Best,2,Trane,5TEM4D06AC41S,3,left,0
shp_essential_4ton_best_3_trane_tcont724as42da.png,Essential,SHP,4,Best,3,Trane,TCONT724AS42DA,3,left,0
shp_essential_4ton_better_1_carrier_fj5anxc48l10.png,Essential,SHP,4,Better,1,Carrier,FJ5ANXC48L10,3,right,0
shp_essential_4ton_better_2_carrier_27sca548a003.png,Essential,SHP,4,Better,2,Carrier,27SCA548A003,3,right,0
shp_essential_4ton_better_3_carrier_eb-state3lticr-01.png,Essential,SHP,4,Better,3,Carrier,EB-STATE3LTICR-01,3,right,0
shp_essential_4ton_budget_1_runtru_a5hp4048a1000.png,Essential,SHP,4,Budget,1,RunTru,A5HP4048A1000,3,right,0
shp_essential_4ton_budget_2_runtru_a5ahc006a1d30a.png,Essential,SHP,4,Budget,2,RunTru,A5AHC006A1D30A,3,right,0
shp_essential_4ton_budget_3_trane_tcont724as42da.png,Essential,SHP,4,Budget,3,Trane,TCONT724AS42DA,3,right,0
shp_essential_4ton_good_1_trane_5twr4048a1000.png,Essential,SHP,4,Good,1,Trane,5TWR4048A1000,3,left,0
shp_essential_4ton_good_2_trane_5tem4d06ac41s.png,Essential,SHP,4,Good,2,Trane,5TEM4D06AC41S,3,left,0
shp_essential_4ton_good_3_trane_tcont724as42da.png,Essential,SHP,4,Good,3,Trane,TCONT724AS42DA,3,left,0
shp_essential_3_5ton_best_1_trane_5twr5042a1000.png,Essential,SHP,3.5,Best,1,Trane,5TWR5042A1000,4,left,0
shp_essential_3_5ton_best_2_trane_5tem4d05ac41s.png,Essential,SHP,3.5,Best,2,Trane,5TEM4D05AC41S,4,left,0
shp_essential_3_5ton_best_3_trane_tcont724as42da.png,Essential,SHP,3.5,Best,3,Trane,TCONT724AS42DA,4,left,0
shp_essential_3_5ton_better_1_trane_5twr4042a1000.png,Essential,SHP,3.5,Better,1,Trane,5TWR4042A1000,4,right,0
shp_essential_3_5ton_better_2_trane_5tem4d05ac41s.png,Essential,SHP,3.5,Better,2,Trane,5TEM4D05AC41S,4,right,0
shp_essential_3_5ton_better_3_trane_tcont724as42da.png,Essential,SHP,3.5,Better,3,Trane,TCONT724AS42DA,4,right,0
shp_essential_3_5ton_budget_1_ameristar_a5hp4042a1000.png,Essential,SHP,3.5,Budget,1,Ameristar,A5HP4042A1000,4,right,0
shp_essential_3_5ton_budget_2_ameristar_a5ahc005a1d30a.png,Essential,SHP,3.5,Budget,2,Ameristar,A5AHC005A1D30A,4,right,0
shp_essential_3_5ton_budget_3_trane_tcont724as42da.png,Essential,SHP,3.5,Budget,3,Trane,TCONT724AS42DA,4,right,0
shp_essential_3_5ton_good_1_carrier_fj5anxc42l10.png,Essential,SHP,3.5,Good,1,Carrier,FJ5ANXC42L10,4,left,0
shp_essential_3_5ton_good_2_carrier_27spa642a003.png,Essential,SHP,3.5,Good,2,Carrier,27SPA642A003,4,left,0
